Smiles,pKa,predicted_pKa,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error
O=C(O)CSc1ccccc1C(=O)O,2.93,3.55,O=C(O)CSc1ccccc1C(=O)O,212.226,1.5615,74.6,3,2,4,1,0.111111,0,0,2,0,2,0,4,2,0,
O=C(O)c1c(Cl)cccc1Cl,1.707,2.13,O=C(O)c1c(Cl)cccc1Cl,191.013,2.6916,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
O=C(O)c1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,1.42,1.36,O=C(O)c1c(F)c(F)c(-c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,360.131,4.3037,37.3,1,1,2,2,0.0,0,0,1,0,1,0,2,1,0,
O=C(O)c1c(F)c(F)c(Br)c(F)c1F,1.66,1.39,O=C(O)c1c(F)c(F)c(Br)c(F)c1F,272.979,2.7037,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
O=C(O)c1c(F)c(F)c(C(F)(F)F)c(F)c1F,1.44,1.35,O=C(O)c1c(F)c(F)c(C(F)(F)F)c(F)c1F,262.08,2.96,37.3,1,1,1,1,0.125,0,0,1,0,1,0,2,1,0,
O=C(O)c1c(F)c(F)c(Cl)c(F)c1F,1.69,1.38,O=C(O)c1c(F)c(F)c(Cl)c(F)c1F,228.528,2.5946,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
O=C(O)c1c(F)c(F)c(F)c(F)c1F,1.75,1.36,O=C(O)c1c(F)c(F)c(F)c(F)c1F,212.073,2.0803,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
O=C(O)c1c(F)c(F)c(O)c(F)c1F,2.27,1.56,O=C(O)c1c(F)c(F)c(O)c(F)c1F,210.082,1.6468,57.53,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
O=C(O)c1c(F)c(F)c(S)c(F)c1F,1.67,2.5,O=C(O)c1c(F)c(F)c(S)c(F)c1F,226.15,2.2299,37.3,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
O=C(O)c1c(F)c(F)cc(F)c1F,1.87,1.42,O=C(O)c1c(F)c(F)cc(F)c1F,194.083,1.9412,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
O=C(O)c1c(O)cccc1Cl,2.63,1.57,O=C(O)c1c(O)cccc1Cl,172.567,1.7438,57.53,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
O=C(O)c1c(O)cccc1O,1.0605,1.29,O=C(O)c1c(O)cccc1O,154.121,0.796,77.76,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,
O=C(O)c1c(O)cccc1[N+](=O)[O-],2.24,1.51,O=C(O)c1c(O)cccc1[N+](=O)[O-],183.119,0.9986,100.67,4,2,2,1,0.0,0,0,1,0,1,0,2,1,0,
O=C(O)c1cc(Br)cc(Br)c1O,2.162,2.43,O=C(O)c1cc(Br)cc(Br)c1O,295.914,2.6154,57.53,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
O=C(O)c1cc(Br)ccc1O,2.6514,3.42,O=C(O)c1cc(Br)ccc1O,217.018,1.8529,57.53,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
