cas,smiles,canonical_smiles,pka_value
98-98-6,O=C(O)C1=NC=CC=C1,O=C(O)c1ccccn1,5.4
86-87-3,O=C(O)CC1=CC=CC=2C=CC=CC21,O=C(O)Cc1cccc2ccccc12,4.23
6089-09-4,O=C(O)CCC#C,C#CCCC(=O)O,4.2
24065-33-6,O=C(O)C=1SC(Cl)=CC1,O=C(O)c1ccc(Cl)s1,3.3150000000000004
530-57-4,O=C(O)C1=CC(OC)=C(O)C(OC)=C1,COc1cc(C(=O)O)cc(OC)c1O,4.34
619-66-9,O=CC1=CC=C(C=C1)C(=O)O,O=Cc1ccc(C(=O)O)cc1,3.76
579-75-9,O=C(O)C=1C=CC=CC1OC,COc1ccccc1C(=O)O,3.9
150-25-4,O=C(O)CN(CCO)CCO,O=C(O)CN(CCO)CCO,8.237566666666666
93-07-2,O=C(O)C1=CC=C(OC)C(OC)=C1,COc1ccc(C(=O)O)cc1OC,4.395
93-10-7,O=C(O)C=1N=C2C=CC=CC2=CC1,O=C(O)c1ccc2ccccc2n1,4.864
99-94-5,O=C(O)C1=CC=C(C=C1)C,Cc1ccc(C(=O)O)cc1,4.383333333333334
74-11-3,O=C(O)C1=CC=C(Cl)C=C1,O=C(O)c1ccc(Cl)cc1,3.988
62-23-7,O=C(O)C1=CC=C(C=C1)N(=O)=O,O=C(O)c1ccc([N+](=O)[O-])cc1,3.2511666666666668
62-57-7,O=C(O)C(N)(C)C,CC(C)(N)C(=O)O,10.2125
586-76-5,O=C(O)C1=CC=C(Br)C=C1,O=C(O)c1ccc(Br)cc1,3.963
104-01-8,O=C(O)CC1=CC=C(OC)C=C1,COc1ccc(CC(=O)O)cc1,4.07
501-52-0,O=C(O)CCC=1C=CC=CC1,O=C(O)CCc1ccccc1,4.688
50-84-0,O=C(O)C1=CC=C(Cl)C=C1Cl,O=C(O)c1ccc(Cl)cc1Cl,2.73
581-96-4,O=C(O)CC=1C=CC=2C=CC=CC2C1,O=C(O)Cc1ccc2ccccc2c1,4.3
111-16-0,O=C(O)CCCCCC(=O)O,O=C(O)CCCCCC(=O)O,4.484999999999999
771-50-6,O=C(O)C1=CNC=2C=CC=CC21,O=C(O)c1c[nH]c2ccccc12,3.87
879-65-2,O=C(O)C1=NC2=CC=CC=C2N=C1,O=C(O)c1cnc2ccccc2n1,2.811666666666666
594-61-6,O=C(O)C(O)(C)C,CC(C)(O)C(=O)O,3.784
1492-24-6,O=C(O)C(N)CC,CCC(N)C(=O)O,9.708666666666668
118-91-2,O=C(O)C=1C=CC=CC1Cl,O=C(O)c1ccccc1Cl,3.063333333333333
306-08-1,O=C(O)CC1=CC=C(O)C(OC)=C1,COc1cc(CC(=O)O)ccc1O,4.41
123-76-2,O=C(O)CCC(=O)C,CC(=O)CCC(=O)O,4.6
516-05-2,O=C(O)C(C(=O)O)C,CC(C(=O)O)C(=O)O,3.05
586-89-0,O=C(O)C1=CC=C(C=C1)C(=O)C,CC(=O)c1ccc(C(=O)O)cc1,3.7
118-41-2,O=C(O)C1=CC(OC)=C(OC)C(OC)=C1,COc1cc(C(=O)O)cc(OC)c1OC,4.166666666666667
89-86-1,O=C(O)C1=CC=C(O)C=C1O,O=C(O)c1ccc(O)cc1O,3.20875
65-49-6,O=C(O)C1=CC=C(N)C=C1O,Nc1ccc(C(=O)O)c(O)c1,3.356666666666667
7254-19-5,O=C(O)C1=CC=2C=C(Br)C=CC2N1,O=C(O)c1cc2cc(Br)ccc2[nH]1,16.1
556-33-2,O=C(O)CNC(=O)CNC(=O)CN,NCC(=O)NCC(=O)NCC(=O)O,8.11
10349-57-2,O=C(O)C1=CC=C2N=CC=CC2=C1,O=C(O)c1ccc2ncccc2c1,4.82
302-72-7,O=C(O)C(N)C,CC(N)C(=O)O,9.906
1118-68-9,O=C(O)CN(C)C,CN(C)CC(=O)O,9.848
617-62-9,O=C(O)CCC(C(=O)O)C,CC(CCC(=O)O)C(=O)O,4.36
636-61-3,O=C(O)CC(O)C(=O)O,O=C(O)CC(O)C(=O)O,3.22725
632-20-2,O=C(O)C(N)C(O)C,CC(O)C(N)C(=O)O,9.03
110-94-1,O=C(O)CCCC(=O)O,O=C(O)CCCC(=O)O,4.25
98-89-5,O=C(O)C1CCCCC1,O=C(O)C1CCCCC1,4.895
88-14-2,O=C(O)C=1OC=CC1,O=C(O)c1ccco1,3.153
